Model,Metric,Score,Smoothing Constant (w)
Exponential Smoothing,MAD,3.5413,0.33
Exponential Smoothing,RMSE,6.4395,0.33
Exponential Smoothing-log,MAPE,0.0658,0.33
Exponential Smoothing-log,MAD,3.5576,0.33
Exponential Smoothing-log,RMSE,6.452,0.33
Exponential Smoothing-sqrt,MAPE,0.0656,0.33
Exponential Smoothing-sqrt,MAD,3.5494,0.33
Exponential Smoothing-sqrt,RMSE,6.4457,0.33
Exponential Smoothing,MAPE,0.0654,0.34
Exponential Smoothing,MAD,3.5379,0.34
Exponential Smoothing,RMSE,6.4368,0.34
Exponential Smoothing-log,MAPE,0.0657,0.34
Exponential Smoothing-log,MAD,3.5538,0.34
Exponential Smoothing-log,RMSE,6.4492,0.34
Exponential Smoothing-sqrt,MAPE,0.0655,0.34
Exponential Smoothing-sqrt,MAD,3.5458,0.34
Exponential Smoothing-sqrt,RMSE,6.443,0.34
Exponential Smoothing,MAPE,0.0653,0.35
Exponential Smoothing,MAD,3.5339,0.35
Exponential Smoothing,RMSE,6.4338,0.35
Exponential Smoothing-log,MAPE,0.0656,0.35
Exponential Smoothing-log,MAD,3.5496,0.35
Exponential Smoothing-log,RMSE,6.4458,0.35
Exponential Smoothing-sqrt,MAPE,0.0654,0.35
Exponential Smoothing-sqrt,MAD,3.5417,0.35
Exponential Smoothing-sqrt,RMSE,6.4398,0.35
Exponential Smoothing,MAPE,0.0652,0.36
Exponential Smoothing,MAD,3.5296,0.36
Exponential Smoothing,RMSE,6.4303,0.36
Exponential Smoothing-log,MAPE,0.0655,0.36
Exponential Smoothing-log,MAD,3.5448,0.36
Exponential Smoothing-log,RMSE,6.4421,0.36
Exponential Smoothing-sqrt,MAPE,0.0654,0.36
Exponential Smoothing-sqrt,MAD,3.537,0.36
Exponential Smoothing-sqrt,RMSE,6.4362,0.36
Exponential Smoothing,MAPE,0.0651,0.37
Exponential Smoothing,MAD,3.5249,0.37
Exponential Smoothing,RMSE,6.4265,0.37
Exponential Smoothing-log,MAPE,0.0654,0.37
Exponential Smoothing-log,MAD,3.5395,0.37
Exponential Smoothing-log,RMSE,6.4381,0.37
Exponential Smoothing-sqrt,MAPE,0.0653,0.37
Exponential Smoothing-sqrt,MAD,3.532,0.37
Exponential Smoothing-sqrt,RMSE,6.4323,0.37
